"reactor_id","storage_condition","RNase_treated","day","target","concentration_technical_average","concentration_technical_standard_deviation","concentration_units","experiment_manuscript_label"
"15A6F",15,"N",3,"MK7",150105.207159501,208038.17906067,"gc.ml","15-2"
"15A6F",15,"Y",3,"MK7",424701.623050363,12583.2541539576,"gc.ml","15-2"
"15A6F",15,"N",3,"ORF",794686.53819462,11667.9102617689,"gc.ml","15-2"
"15A6F",15,"Y",3,"ORF",728433.368693444,34230.9672247989,"gc.ml","15-2"
"15A6F",15,"N",5,"MK1",49270.1195771774,2015.80185690837,"gc.ml","15-2"
"15A6F",15,"Y",5,"MK1",60537.1662577486,225.19973268245,"gc.ml","15-2"
"15A6F",15,"N",5,"MK3",526949.866617919,12584.8471181085,"gc.ml","15-2"
"15A6F",15,"Y",5,"MK3",561483.69727052,19311.8917195879,"gc.ml","15-2"
"15A6F",15,"N",5,"MK5",230735.007307272,2605.70457431911,"gc.ml","15-2"
"15A6F",15,"Y",5,"MK5",239747.463502551,23760.7611001146,"gc.ml","15-2"
"15A6F",15,"N",5,"MK7",495567.182203615,9142.2710691055,"gc.ml","15-2"
"15A6F",15,"Y",5,"MK7",595536.676829474,4324.10914770158,"gc.ml","15-2"
"15A6F",15,"N",5,"ORF",851325.638075972,33179.9397809241,"gc.ml","15-2"
"15A6F",15,"Y",5,"ORF",951154.279528123,97781.6009114172,"gc.ml","15-2"
"20A1F",20,"N",0,"OL1b",1022058.29079949,20080.4112309257,"gc.ml","20-1"
"20A1F",20,"N",0,"OL3a",1186816.11827017,7726.55547447159,"gc.ml","20-1"
"20A1F",20,"N",0,"OL5a",2311653.9082208,438249.199467445,"gc.ml","20-1"
"20A1F",20,"N",0,"OL7b",20668000.7765458,21731.3020049733,"gc.ml","20-1"
"20A1F",20,"N",0,"ORF",482768.080315448,17477.0674263182,"gc.ml","20-1"
"20A1F",20,"N",1,"OL1b",393164.937544805,23985.4771339546,"gc.ml","20-1"
"20A1F",20,"N",1,"OL3a",432614.379917026,22945.613605585,"gc.ml","20-1"
"20A1F",20,"N",1,"OL5a",883940.356454996,18924.0175757897,"gc.ml","20-1"
"20A1F",20,"N",1,"OL7b",4471853.90947741,2061100.12500853,"gc.ml","20-1"
"20A1F",20,"N",1,"ORF",199507.245140414,22336.127766776,"gc.ml","20-1"
"20A1F",20,"N",7,"OL1b",180211.357422691,22927.9766096482,"gc.ml","20-1"
"20A1F",20,"N",7,"OL3a",191612.633937091,21394.3999977258,"gc.ml","20-1"
"20A1F",20,"N",7,"OL5a",482149.052902101,20797.8743845231,"gc.ml","20-1"
"20A1F",20,"N",7,"OL7b",2999717.97765242,674619.319848345,"gc.ml","20-1"
"20A1F",20,"N",7,"ORF",179480.491758845,11160.6430813571,"gc.ml","20-1"
"20A2F",20,"N",0,"OL1b",249243.396989598,22524.8849251791,"gc.ml","20-1"
"20A2F",20,"N",0,"OL3a",454623.099841786,23324.2415659895,"gc.ml","20-1"
"20A2F",20,"N",0,"OL5a",416014.38063763,41897.3696831699,"gc.ml","20-1"
"20A2F",20,"N",0,"OL7b",7680159.60123564,389344.729386556,"gc.ml","20-1"
"20A2F",20,"N",0,"ORF",295818.36525694,17454.7333115239,"gc.ml","20-1"
"20A2F",20,"N",1,"OL1b",62389.7344971023,16102.1416289445,"gc.ml","20-1"
"20A2F",20,"N",1,"OL3a",127157.475991041,20218.3216061573,"gc.ml","20-1"
"20A2F",20,"N",1,"OL5a",173182.397080869,14737.8983293215,"gc.ml","20-1"
"20A2F",20,"N",1,"OL7b",2904368.19196957,1114465.67671561,"gc.ml","20-1"
"20A2F",20,"N",1,"ORF",133784.487924446,18278.1882411198,"gc.ml","20-1"
