sample_id,id,storage_condition,reactor,filtered,RNase_treated,time_point,dilution_factor,target,task,CT,plate_id,Exp_loc,experiment,experiment_manuscript_label
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK7,UNKNOWN,24.01796,P1004,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK7,UNKNOWN,23.95307,P1004,CDC_collab,2,15-2
NA,NA,NA,NA,NA,NA,NA,NA,MK5,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK5,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK5,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK5,UNKNOWN,24.55622,P1004,CDC_collab,2,15-2
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK5,UNKNOWN,24.35387,P1004,CDC_collab,2,15-2
NA,NA,NA,NA,NA,NA,NA,NA,MK7,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK7,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK7,NTC,33.1982,P1004,CDC_collab,extraction_control_1234,control
